"","x"
"1","Annelid worms"
"2","Ostracods"
"3","copepod nauplii"
"4","cyclopoid copepodid"
"5","Acanthocyclops"
"6","Limnoithona spp."
"7","Other cyclopoid"
"8","Acartia spp."
"9","Eurytemora spp."
"10","calanoid copepodid"
"11","Harpacticoids"
"12","Cumaceans"
"13","Other rotifer"
"14","Diaptomus spp."
"15","Pseudodiaptomus spp."
"16","Bosmina"
"17","Daphnia"
"18","barnacle nauplii"
"19","Other cladocera"
"20","Oithona davisae"
"21","Tortanus"
"22","Acartiella"
"23","Sinocalanus"
"24","crab zoea"
"25","Oithona similis"
"26","Diaphanosoma"
"27","Eurytemora copepodid"
"28","Pseudodiaptomus copepodid"
"29","Other calanoid"
"30","Chironomid larvae"
"31","Limnoithona tetraspina"
"32","Acartia copepodid"
"33","Diaptomus copepodid"
"34","Sinocalanus nauplii"
"35","Sinocalanus copepodid"
"36","Ceriodaphnia"
"37","Pseudodiaptomus nauplii"
"38","Limnoithona juvenile"
"39","Pseudodiaptomus forbesii"
"40","Eurytemora nauplii"
"41","Tortanus copepodid"
"42","Tortanus dextrilobatus"
"43","Acartiella copepodid"
"44","Synchaeta"
"45","Oithona juvenile"
"46","Pseudodiaptomus marinus"
"47","Tortanus discaudatus"
"48","Unid rotifer"
"49","Limnoithona sinensis"
"50","Osphranticum"
"51","Synchaeta bicornis"
"52","Polyarthra"
"53","Stomach/Gut Tissue"
"54","Trichocerca"
"55","UnID calanoid"
"56","Pseudodiaptomus euryhalinus"
"57","UnID cladocera"
"58","Asplanchna"
"59","Other Insect larvae"
"60","Keratella"
"61","Acanthomysis aspera"
"62","Gammarus"
"63","Oithona spp."
